縣市,城市編號,城市名,預報時間,氣溫,體感溫,風速,風向,氣壓,濕度,露點溫度,雲量,時雨量,預報信心,藍天指數,喝水指數,能見度,濃霧
臺中市,101,后里區,2017012310,18.2,19.4,5.1,16,1024,65,11.4,17,0,85,5,4,16,1
臺中市,101,后里區,2017012311,19.2,20.7,5.9,17,1025,65,12.4,16,0,85,5,5,16,1
臺中市,101,后里區,2017012312,19.8,21.2,6.7,13,1024,65,13,19,0,85,5,5,15,1
臺中市,101,后里區,2017012313,19.8,20.9,7.6,13,1024,66,13.2,21,0,90,5,4,15,1
臺中市,101,后里區,2017012314,19.6,20.2,7.8,12,1023,67,13.3,23,0,95,5,4,15,1
臺中市,101,后里區,2017012315,19,18.7,8,12,1023,69,13.1,22,0,90,5,4,15,1
臺中市,101,后里區,2017012316,18.1,16.5,7.5,15,1023,71,12.7,23,0,90,5,3,14,1
臺中市,101,后里區,2017012317,16.7,13.4,6.6,21,1023,75,12.2,28,0,85,5,2,14,1
臺中市,101,后里區,2017012318,14.8,10.1,4.8,24,1023,82,11.7,31,0,85,5,0,13,1
臺中市,101,后里區,2017012319,14.4,10.7,3.6,28,1024,83,11.6,43,0,80,5,1,12,1
臺中市,101,后里區,2017012320,14.4,10.9,2.7,40,1024,85,11.9,39,0,90,5,1,12,1
臺中市,101,后里區,2017012321,14.2,11.4,1.7,48,1024,89,12.4,38,0,95,5,1,12,1
臺中市,101,后里區,2017012322,14.5,12.1,1.4,63,1024,87,12.4,43,0,95,5,1,12,1
臺中市,101,后里區,2017012323,14.6,12.6,1,242,1024,87,12.3,46,0,95,5,1,12,1
臺中市,101,后里區,2017012400,14.3,12.8,0.8,206,1024,91,12.9,52,0,95,5,1,11,1
臺中市,101,后里區,2017012401,14.1,12.4,1,177,1024,89,12.3,54,0,90,5,1,11,1
臺中市,101,后里區,2017012402,14.4,13.2,0.6,233,1024,90,12.7,60,0,85,3,1,11,1
臺中市,101,后里區,2017012403,14.7,13.5,0.6,320,1024,91,13.2,66,0,85,3,1,10,1
臺中市,101,后里區,2017012404,14.8,13.3,1.1,11,1024,89,13,66,0,85,2,1,11,1
臺中市,101,后里區,2017012405,14.9,13.5,1,142,1024,92,13.5,71,0.2,85,3,1,10,1
臺中市,101,后里區,2017012406,15.1,13.4,1.2,274,1024,90,13.5,67,0,95,2,1,10,1
臺中市,101,后里區,2017012407,15.2,14.9,1,168,1025,91,13.8,67,0,95,3,2,10,1
臺中市,101,后里區,2017012408,16,17.4,1.3,181,1025,84,13.3,58,0,95,3,3,11,1
臺中市,101,后里區,2017012409,16.7,16.2,2.2,331,1026,82,13.6,53,0,90,3,2,12,1
臺中市,101,后里區,2017012410,18.3,21.5,2.8,344,1026,76,14,43,0,95,5,5,13,1
臺中市,101,后里區,2017012411,19.7,22.5,3.7,333,1026,70,14.1,33,0,90,5,5,14,1
臺中市,101,后里區,2017012412,19.7,21.6,5,343,1025,71,14.3,37,0,85,5,5,14,1
臺中市,101,后里區,2017012413,20.4,21.7,4.8,343,1024,69,14.5,39,0,80,4,4,14,1
臺中市,101,后里區,2017012414,20.7,22.9,4.7,326,1024,68,14.5,35,0,90,5,5,14,1
臺中市,101,后里區,2017012415,20.1,21,5.7,289,1024,71,14.7,33,0,85,5,4,14,1
臺中市,101,后里區,2017012416,19.5,19.2,5.2,294,1023,72,14.4,29,0,90,5,4,14,1
臺中市,101,后里區,2017012417,18.6,16,4.4,57,1023,76,14.3,33,0,85,5,2,13,1
臺中市,101,后里區,2017012418,17.2,12.9,4.2,184,1024,83,14.3,35,0,85,5,1,12,1
臺中市,101,后里區,2017012419,16.5,13,2.7,190,1024,86,14,36,0,90,5,1,12,1
臺中市,101,后里區,2017012420,16.2,13,2.3,291,1025,86,13.9,37,0,85,5,1,12,1
臺中市,101,后里區,2017012421,16.2,13.6,1.7,296,1025,85,13.7,36,0,85,5,1,12,1
臺中市,101,后里區,2017012422,15.8,12.9,1.9,332,1025,87,13.6,37,0,85,5,1,12,1
