時間,編號,雲量,時雨量,濕度,風向,風速,溫度,能見度
2017031821,1,69.1,0.0,92.2,74.3,7.0,24.4,10.6
2017031821,2,68.5,0.0,92.1,74.0,7.0,24.4,10.6
2017031821,3,67.9,0.0,92.0,74.0,7.0,24.4,10.6
2017031821,4,67.2,0.0,92.0,74.1,7.0,24.4,10.7
2017031821,5,66.5,0.0,92.0,74.1,6.9,24.4,10.7
2017031821,6,65.9,0.0,92.1,74.2,6.9,24.3,10.7
2017031821,7,65.1,0.0,92.1,74.4,6.8,24.3,10.7
2017031821,8,64.5,0.0,92.1,74.5,6.8,24.3,10.8
2017031821,9,63.8,0.0,92.1,74.5,6.8,24.3,10.8
2017031821,10,63.1,0.0,91.9,74.5,6.8,24.3,10.9
2017031821,11,62.5,0.0,91.8,74.8,6.8,24.3,10.9
2017031821,12,62.2,0.0,91.9,75.0,6.8,24.3,10.9
2017031821,13,61.8,0.0,91.9,75.1,6.7,24.3,10.9
2017031821,14,61.3,0.0,91.8,75.3,6.8,24.3,11.0
2017031821,15,60.7,0.0,91.6,75.4,6.8,24.4,11.0
2017031821,16,60.2,0.0,91.6,75.5,6.8,24.4,11.1
2017031821,17,59.7,0.0,91.7,75.7,6.7,24.3,11.1
2017031821,18,59.1,0.0,91.7,76.0,6.7,24.3,11.1
2017031821,19,58.3,0.0,91.5,76.2,6.7,24.3,11.2
2017031821,20,57.5,0.0,91.5,76.3,6.7,24.3,11.2
2017031821,21,56.9,0.0,91.6,76.4,6.7,24.3,11.3
2017031821,22,56.2,0.0,91.6,76.9,6.6,24.3,11.3
2017031821,23,55.4,0.0,91.5,77.1,6.7,24.3,11.3
2017031821,24,54.5,0.0,91.3,77.2,6.7,24.3,11.4
2017031821,25,53.7,0.0,91.1,77.2,6.8,24.4,11.5
2017031821,26,52.8,0.0,90.9,77.8,6.8,24.4,11.5
2017031821,27,51.9,0.0,90.7,77.9,6.9,24.4,11.6
2017031821,28,51.0,0.0,90.5,78.1,6.9,24.5,11.6
2017031821,29,50.1,0.0,90.5,78.2,6.9,24.5,11.7
2017031821,30,49.3,0.0,90.6,78.6,6.9,24.4,11.7
2017031821,31,48.9,0.0,90.7,78.8,6.9,24.4,11.7
2017031821,32,48.3,0.0,90.5,79.0,6.9,24.4,11.7
2017031821,33,47.7,0.0,90.4,79.3,7.0,24.5,11.8
2017031821,34,47.2,0.0,90.3,79.4,7.0,24.5,11.8
2017031821,35,46.7,0.0,90.3,79.5,7.0,24.5,11.8
2017031821,36,46.2,0.0,90.2,79.7,7.0,24.5,11.8
2017031821,37,45.6,0.0,90.0,80.0,7.1,24.5,11.8
2017031821,38,45.2,0.0,90.0,80.2,7.1,24.5,11.9
2017031821,39,44.8,0.0,90.0,80.4,7.1,24.5,11.9
2017031821,40,44.5,0.0,90.0,80.6,7.1,24.5,11.9
2017031821,41,44.0,0.0,89.9,80.7,7.1,24.5,11.9
2017031821,42,43.5,0.0,89.8,80.8,7.2,24.5,11.9
2017031821,43,43.0,0.0,89.7,81.0,7.2,24.6,11.9
2017031821,44,42.4,0.0,89.5,81.1,7.3,24.6,12.0
2017031821,45,41.7,0.0,89.2,81.4,7.4,24.6,12.0
2017031821,46,41.0,0.0,88.9,81.5,7.5,24.7,12.0
2017031821,47,40.4,0.0,88.8,81.6,7.5,24.7,12.1
2017031821,48,40.0,0.0,88.9,81.7,7.5,24.7,12.1
2017031821,49,39.6,0.0,89.0,81.7,7.5,24.7,12.1
2017031821,50,39.2,0.0,88.9,81.8,7.5,24.7,12.1
2017031821,51,38.7,0.0,88.9,81.8,7.5,24.7,12.1
2017031821,52,38.2,0.0,88.8,81.9,7.5,24.7,12.1
2017031821,53,37.7,0.0,88.7,81.7,7.5,24.7,12.1
2017031821,54,37.6,0.0,88.6,81.9,7.5,24.8,12.1
2017031821,55,37.5,0.0,88.5,82.0,7.6,24.8,12.2
2017031821,56,37.5,0.0,88.5,81.8,7.6,24.8,12.2
2017031821,57,37.5,0.0,88.6,81.9,7.5,24.8,12.2
2017031821,58,37.5,0.0,88.6,81.8,7.5,24.8,12.2
2017031821,59,37.4,0.0,88.5,81.6,7.5,24.8,12.2
2017031821,60,37.3,0.0,88.4,81.9,7.6,24.8,12.2
2017031821,61,37.1,0.0,88.3,81.8,7.6,24.8,12.2
2017031821,62,37.2,0.0,88.1,81.8,7.6,24.9,12.2
2017031821,63,37.5,0.0,88.1,81.8,7.6,24.9,12.2
2017031821,64,37.8,0.0,88.1,81.8,7.6,24.9,12.2
2017031821,65,38.0,0.0,88.0,81.7,7.6,24.9,12.2
2017031821,66,38.2,0.0,87.9,81.6,7.7,24.9,12.2
2017031821,67,38.5,0.0,87.8,81.6,7.7,24.9,12.2
2017031821,68,39.0,0.0,88.1,81.5,7.6,24.9,12.1
2017031821,69,39.3,0.0,88.2,81.5,7.5,24.9,12.1
2017031821,70,39.3,0.0,87.9,81.6,7.6,24.9,12.1
2017031821,71,39.2,0.0,87.6,81.7,7.7,25.0,12.2
2017031821,72,39.2,0.0,87.5,81.7,7.7,25.0,12.2
2017031821,73,39.3,0.0,87.4,81.8,7.8,25.0,12.2
2017031821,74,39.3,0.0,87.4,81.8,7.8,25.0,12.2
2017031821,75,39.4,0.0,87.3,82.0,7.8,25.1,12.2
2017031821,76,39.4,0.0,87.3,82.1,7.8,25.1,12.2
2017031821,77,39.5,0.0,87.3,82.2,7.8,25.1,12.1
2017031821,78,39.5,0.0,87.2,82.4,7.8,25.1,12.1
2017031821,79,39.4,0.0,87.1,82.5,7.9,25.1,12.2
2017031821,80,39.3,0.0,86.9,82.6,8.0,25.1,12.2
2017031821,81,39.2,0.0,86.7,82.7,8.0,25.2,12.2
2017031821,82,39.1,0.0,86.6,83.1,8.0,25.2,12.2
2017031821,83,39.0,0.0,86.5,83.3,8.1,25.2,12.2
2017031821,84,38.9,0.0,86.3,83.5,8.1,25.2,12.2
2017031821,85,38.7,0.0,86.2,83.7,8.2,25.3,12.2
2017031821,86,38.5,0.0,86.0,83.9,8.3,25.3,12.2
2017031821,87,38.4,0.0,85.8,84.4,8.3,25.3,12.2
2017031821,88,38.2,0.0,85.6,84.7,8.4,25.4,12.3
2017031821,89,38.1,0.0,85.5,85.0,8.5,25.4,12.3
2017031821,90,38.0,0.0,85.4,85.4,8.5,25.4,12.3
2017031821,91,37.9,0.0,85.3,85.8,8.6,25.4,12.3
2017031821,92,37.8,0.0,85.1,86.1,8.7,25.4,12.3
2017031821,93,37.9,0.0,84.9,86.4,8.7,25.5,12.3
2017031821,94,38.3,0.0,84.7,86.9,8.8,25.5,12.3
2017031821,95,38.7,0.0,84.6,87.3,8.9,25.5,12.3
2017031821,96,39.0,0.0,84.5,87.7,8.9,25.5,12.3
2017031821,97,39.2,0.0,84.2,88.3,9.0,25.6,12.3
2017031821,98,39.3,0.0,84.0,88.6,9.1,25.6,12.4
2017031821,99,39.4,0.0,83.8,88.9,9.2,25.6,12.4
2017031821,100,39.5,0.0,83.7,89.5,9.3,25.6,12.4
2017031821,101,39.5,0.0,83.5,89.8,9.4,25.6,12.4
2017031821,102,39.5,0.0,83.3,90.2,9.5,25.7,12.4
2017031821,103,39.4,0.0,83.2,90.5,9.5,25.7,12.4
2017031821,104,39.3,0.0,83.1,90.9,9.6,25.7,12.4
2017031821,105,39.1,0.0,83.0,91.2,9.6,25.7,12.5
2017031821,106,38.9,0.0,82.9,91.6,9.6,25.7,12.5
2017031821,107,38.7,0.0,82.9,91.9,9.7,25.7,12.5
2017031821,108,38.7,0.0,82.8,92.2,9.7,25.7,12.5
2017031821,109,38.7,0.0,82.7,92.6,9.7,25.8,12.5
2017031821,110,38.7,0.0,82.7,92.9,9.7,25.8,12.5
2017031821,111,38.7,0.0,82.6,93.2,9.7,25.8,12.5
2017031821,112,38.7,0.0,82.5,93.6,9.7,25.8,12.6
2017031821,113,38.6,0.0,82.5,94.0,9.7,25.8,12.6
2017031821,114,38.6,0.0,82.4,94.3,9.7,25.8,12.6
2017031821,115,38.5,0.0,82.3,94.6,9.7,25.8,12.6
2017031821,116,38.4,0.0,82.2,94.8,9.7,25.9,12.6
2017031821,117,38.3,0.0,82.2,95.3,9.7,25.9,12.7
2017031821,118,38.5,0.0,82.1,95.8,9.7,25.9,12.7
2017031821,119,39.2,0.0,82.0,96.2,9.7,25.9,12.6
2017031821,120,40.0,0.0,82.0,96.5,9.7,25.9,12.6
2017031821,121,40.7,0.0,81.9,97.1,9.7,25.9,12.6
2017031821,122,41.4,0.0,81.9,97.4,9.6,25.9,12.6
2017031821,123,42.1,0.0,81.8,97.7,9.6,25.9,12.5
2017031821,124,42.7,0.0,81.8,98.1,9.6,25.9,12.5
2017031821,125,43.2,0.0,81.7,98.5,9.6,25.9,12.5
2017031821,126,43.8,0.0,81.7,98.9,9.6,25.9,12.5
2017031821,127,44.3,0.0,81.6,99.3,9.5,25.9,12.5
2017031821,128,44.7,0.0,81.6,99.7,9.5,25.9,12.5
2017031821,129,45.3,0.0,81.6,100.2,9.5,25.9,12.4
2017031821,130,46.0,0.0,81.5,100.6,9.4,25.9,12.4
2017031821,131,46.6,0.0,81.5,100.9,9.4,25.8,12.4
2017031821,132,47.3,0.0,81.4,101.4,9.4,25.9,12.4
2017031821,133,47.9,0.0,81.4,101.9,9.3,25.9,12.4
2017031821,134,48.6,0.0,81.3,102.3,9.3,25.9,12.4
2017031821,135,49.2,0.0,81.3,102.6,9.3,25.9,12.3
2017031821,136,49.8,0.0,81.2,102.9,9.2,25.9,12.3
2017031821,137,50.3,0.0,81.2,103.2,9.2,25.9,12.3
2017031821,138,50.7,0.0,81.2,103.7,9.1,25.9,12.3
2017031821,139,51.1,0.0,81.2,104.0,9.1,25.8,12.3
2017031821,140,51.4,0.0,81.2,104.3,9.0,25.8,12.3
2017031821,141,51.6,0.0,81.2,104.6,9.0,25.8,12.3
2017031821,142,51.9,0.0,81.2,105.0,8.9,25.8,12.3
2017031821,143,52.1,0.0,81.2,105.3,8.9,25.8,12.3
2017031821,144,52.4,0.0,81.2,105.5,8.8,25.7,12.3
2017031821,145,52.6,0.0,81.2,105.8,8.8,25.7,12.3
2017031821,146,52.9,0.0,81.2,106.1,8.7,25.7,12.2
2017031821,147,53.1,0.0,81.3,106.5,8.6,25.6,12.2
2017031821,148,53.3,0.0,81.3,106.8,8.6,25.6,12.2
2017031821,149,53.5,0.0,81.3,107.2,8.5,25.6,12.2
2017031821,150,53.6,0.0,81.3,107.4,8.5,25.6,12.2
2017031821,151,53.8,0.0,81.3,107.8,8.4,25.6,12.2
2017031821,152,53.9,0.0,81.3,108.0,8.4,25.5,12.2
2017031821,153,54.1,0.0,81.4,108.4,8.3,25.5,12.2
2017031821,154,54.2,0.0,81.4,108.7,8.3,25.5,12.2
2017031821,155,54.3,0.0,81.3,109.0,8.2,25.5,12.2
2017031821,156,54.3,0.0,81.3,109.1,8.2,25.5,12.2
2017031821,157,54.2,0.0,81.3,109.2,8.1,25.5,12.2
2017031821,158,54.0,0.0,81.2,109.5,8.1,25.5,12.2
2017031821,159,53.8,0.0,81.2,109.6,8.0,25.5,12.2
2017031821,160,53.5,0.0,81.2,109.6,8.0,25.5,12.2
2017031821,161,53.2,0.0,81.1,109.8,8.0,25.5,12.2
2017031821,162,52.7,0.0,81.0,109.7,7.9,25.5,12.2
2017031821,163,52.1,0.0,81.0,109.8,7.9,25.5,12.2
2017031821,164,51.3,0.0,80.9,109.9,7.8,25.5,12.3
2017031821,165,50.3,0.0,80.9,109.9,7.8,25.5,12.3
2017031821,166,49.1,0.0,80.9,110.0,7.8,25.5,12.3
2017031821,167,47.8,0.0,80.9,109.9,7.7,25.5,12.4
2017031821,168,46.4,0.0,80.9,109.8,7.7,25.4,12.4
2017031821,169,45.1,0.0,80.9,109.6,7.6,25.4,12.5
2017031821,170,43.7,0.0,80.9,109.6,7.6,25.4,12.5
2017031821,171,42.4,0.0,80.8,109.5,7.5,25.4,12.6
2017031821,172,41.1,0.0,80.8,109.4,7.5,25.4,12.6
2017031821,173,39.8,0.0,80.7,109.0,7.5,25.4,12.7
2017031821,174,38.5,0.0,80.7,108.9,7.4,25.4,12.7
2017031821,175,37.3,0.0,80.7,108.8,7.4,25.4,12.8
2017031821,176,36.1,0.0,80.7,108.7,7.4,25.4,12.8
2017031821,177,35.0,0.0,80.7,108.3,7.3,25.3,12.9
2017031821,178,34.0,0.0,80.6,108.0,7.3,25.3,12.9
2017031821,179,33.0,0.0,80.6,107.8,7.3,25.3,12.9
2017031821,180,32.2,0.0,80.6,107.5,7.3,25.3,13.0
2017031821,181,31.4,0.0,80.6,107.3,7.3,25.3,13.0
2017031821,182,30.6,0.0,80.6,107.0,7.3,25.3,13.0
2017031821,183,30.2,0.0,80.7,106.7,7.2,25.2,13.0
2017031821,184,29.8,0.0,80.6,106.6,7.2,25.2,13.0
2017031821,185,29.6,0.0,80.6,106.4,7.2,25.2,13.0
2017031821,186,29.4,0.0,80.6,106.1,7.2,25.2,13.0
2017031821,187,29.4,0.0,80.6,105.8,7.2,25.2,13.0
2017031821,188,29.5,0.0,80.6,105.7,7.2,25.2,13.0
2017031821,189,29.6,0.0,80.6,105.3,7.2,25.2,13.0
2017031821,190,29.8,0.0,80.6,105.0,7.2,25.1,13.0
2017031821,191,30.1,0.0,80.6,104.8,7.2,25.1,13.0
2017031821,192,30.4,0.0,80.6,104.3,7.2,25.1,13.0
