時間,編號,雲量,時雨量,濕度,風向,風速,溫度,能見度
2017031818,1,78.0,0.0,92.8,71.9,6.8,24.4,10.3
2017031818,2,76.7,0.0,92.8,70.9,6.8,24.4,10.4
2017031818,3,75.3,0.0,92.7,70.6,6.8,24.4,10.4
2017031818,4,73.9,0.0,92.7,70.6,6.8,24.4,10.5
2017031818,5,72.4,0.0,92.8,70.5,6.8,24.4,10.6
2017031818,6,71.0,0.0,92.9,70.4,6.8,24.4,10.6
2017031818,7,69.5,0.0,92.9,70.4,6.7,24.3,10.7
2017031818,8,68.0,0.0,93.0,70.5,6.7,24.3,10.7
2017031818,9,66.4,0.0,92.9,70.4,6.7,24.3,10.8
2017031818,10,64.9,0.0,92.8,70.4,6.7,24.3,10.9
2017031818,11,63.5,0.0,92.7,70.6,6.7,24.4,10.9
2017031818,12,62.3,0.0,92.8,70.7,6.6,24.3,11.0
2017031818,13,61.1,0.0,92.9,70.8,6.6,24.3,11.0
2017031818,14,59.7,0.0,92.7,71.0,6.6,24.3,11.1
2017031818,15,58.4,0.0,92.6,71.1,6.6,24.4,11.2
2017031818,16,57.5,0.0,92.6,71.3,6.6,24.4,11.2
2017031818,17,56.8,0.0,92.7,71.7,6.6,24.3,11.2
2017031818,18,56.1,0.0,92.6,71.9,6.5,24.3,11.2
2017031818,19,55.2,0.0,92.5,72.4,6.6,24.3,11.3
2017031818,20,54.4,0.0,92.4,72.6,6.6,24.3,11.3
2017031818,21,53.8,0.0,92.5,73.0,6.5,24.3,11.3
2017031818,22,53.2,0.0,92.5,73.5,6.5,24.3,11.3
2017031818,23,52.3,0.0,92.3,73.8,6.5,24.3,11.4
2017031818,24,51.4,0.0,92.1,74.3,6.5,24.3,11.4
2017031818,25,50.6,0.0,92.0,74.8,6.6,24.4,11.4
2017031818,26,49.8,0.0,91.8,75.2,6.6,24.4,11.5
2017031818,27,48.9,0.0,91.5,75.7,6.7,24.4,11.5
2017031818,28,48.0,0.0,91.3,76.1,6.7,24.5,11.6
2017031818,29,47.3,0.0,91.2,76.5,6.7,24.5,11.6
2017031818,30,46.7,0.0,91.3,77.0,6.7,24.4,11.6
2017031818,31,46.3,0.0,91.4,77.6,6.7,24.4,11.6
2017031818,32,45.6,0.0,91.2,77.9,6.7,24.5,11.7
2017031818,33,44.9,0.0,91.0,78.3,6.8,24.5,11.7
2017031818,34,44.4,0.0,91.0,78.8,6.8,24.5,11.7
2017031818,35,43.8,0.0,90.9,79.2,6.8,24.5,11.8
2017031818,36,43.2,0.0,90.8,79.5,6.8,24.5,11.8
2017031818,37,42.6,0.0,90.6,79.8,6.9,24.5,11.8
2017031818,38,42.1,0.0,90.5,80.2,6.9,24.5,11.9
2017031818,39,41.8,0.0,90.5,80.5,6.9,24.5,11.9
2017031818,40,41.4,0.0,90.4,80.9,6.9,24.5,11.9
2017031818,41,41.0,0.0,90.3,81.2,6.9,24.5,11.9
2017031818,42,40.5,0.0,90.2,81.5,6.9,24.6,12.0
2017031818,43,40.0,0.0,90.0,81.9,7.0,24.6,12.0
2017031818,44,39.5,0.0,89.8,82.2,7.0,24.6,12.0
2017031818,45,38.8,0.0,89.5,82.7,7.1,24.7,12.1
2017031818,46,38.1,0.0,89.1,82.9,7.2,24.7,12.1
2017031818,47,37.6,0.0,89.0,83.1,7.2,24.7,12.1
2017031818,48,37.3,0.0,89.1,83.5,7.2,24.7,12.2
2017031818,49,37.0,0.0,89.2,83.6,7.1,24.7,12.2
2017031818,50,36.5,0.0,89.1,83.6,7.1,24.7,12.2
2017031818,51,36.0,0.0,89.0,84.0,7.1,24.7,12.2
2017031818,52,35.5,0.0,88.9,83.9,7.1,24.7,12.2
2017031818,53,34.9,0.0,88.8,84.0,7.1,24.8,12.2
2017031818,54,34.3,0.0,88.7,84.2,7.1,24.8,12.3
2017031818,55,33.8,0.0,88.5,84.3,7.2,24.8,12.3
2017031818,56,33.3,0.0,88.5,84.4,7.1,24.8,12.3
2017031818,57,32.9,0.0,88.6,84.6,7.1,24.8,12.3
2017031818,58,32.5,0.0,88.6,84.6,7.0,24.8,12.3
2017031818,59,31.9,0.0,88.5,84.5,7.0,24.8,12.4
2017031818,60,31.4,0.0,88.3,85.0,7.0,24.9,12.4
2017031818,61,30.7,0.0,88.1,84.9,7.1,24.9,12.4
2017031818,62,30.1,0.0,87.9,84.8,7.1,24.9,12.5
2017031818,63,29.7,0.0,87.9,85.0,7.1,24.9,12.5
2017031818,64,29.2,0.0,87.9,84.9,7.0,24.9,12.5
2017031818,65,28.6,0.0,87.8,84.9,7.0,24.9,12.5
2017031818,66,27.9,0.0,87.5,85.1,7.1,25.0,12.5
2017031818,67,27.4,0.0,87.5,85.2,7.0,25.0,12.6
2017031818,68,27.2,0.0,87.8,85.2,6.9,24.9,12.5
2017031818,69,26.8,0.0,87.9,85.2,6.9,24.9,12.5
2017031818,70,26.4,0.0,87.5,85.3,6.9,25.0,12.6
2017031818,71,26.2,0.0,87.1,85.3,7.0,25.0,12.7
2017031818,72,26.4,0.0,86.9,85.5,7.1,25.1,12.7
2017031818,73,26.7,0.0,86.8,85.4,7.1,25.1,12.7
2017031818,74,26.9,0.0,86.7,85.7,7.1,25.1,12.7
2017031818,75,27.2,0.0,86.7,85.7,7.1,25.1,12.7
2017031818,76,27.5,0.0,86.6,85.9,7.1,25.1,12.7
2017031818,77,27.9,0.0,86.6,85.9,7.1,25.1,12.7
2017031818,78,28.2,0.0,86.6,86.0,7.1,25.1,12.7
2017031818,79,28.4,0.0,86.3,86.1,7.2,25.2,12.8
2017031818,80,28.6,0.0,86.1,86.0,7.3,25.2,12.8
